soi_name,master_comp_security_name,family_name,security_type,normalized_security_name,normalized_soi_name,normalized_family_name
"ASP LCG Holdings, Inc. (f/k/a Learning Care Group (US), No. 2 Inc.) (Warrants)",Learning Care Group (Common),,Common Equity,learning care group common,asp lcg holdings f k a learning care group us no 2 warrants,
"Accelevation, LLC",Accelevation (Term Loan),Accelevation,First Lien,accelevation term loan,accelevation,accelevation
"Accounting Platform Holdings, Inc",Harris (Preferred Equity),Harris,Common Equity,harris preferred equity,accounting platform holdings,harris
"Accounting Platform Holdings, Inc",Harris (Common Equity),Harris,Common Equity,harris common equity,accounting platform holdings,harris
"Acrisure, LLC",Acrisure (TLB-1),Acrisure,First Lien,acrisure tlb 1,acrisure,acrisure
"Ad.net Acquisition, LLC",Ad.net (Term Loan),Ad.net,First Lien,ad net term loan,ad net acquisition,ad net
"Ad.net Acquisition, LLC - Funded Revolver",Ad.net (Revolver),Ad.net,First Lien,ad net revolver,ad net acquisition funded revolver,ad net
"Ad.net Acquisition, LLC - Unfunded Revolver",Ad.net (Revolver),Ad.net,First Lien,ad net revolver,ad net acquisition unfunded revolver,ad net
"Ad.net Holdings, Inc. (Common )",Ad.net (Common Equity),Ad.net,Common Equity,ad net common equity,ad net holdings common,ad net
"Ad.net Holdings, Inc. (Common)",Ad.net (Common Equity),Ad.net,Preferred Equity,ad net common equity,ad net holdings common,ad net
"Ad.net Holdings, Inc. (Preferred)",Ad.net (Preferred Equity),Ad.net,Preferred Equity,ad net preferred equity,ad net holdings preferred,ad net
Advantage Sales & Marketing,Advantage (TL),Advantage Sales & Marketing,First Lien,advantage term loan,advantage sales marketing,advantage sales marketing
Advantage Sales & Marketing ,Advantage (TL),Advantage Sales & Marketing,First Lien,advantage term loan,advantage sales marketing,advantage sales marketing
Advantage Sales & Marketing Inc.,Advantage (TL),Advantage Sales & Marketing,First Lien,advantage term loan,advantage sales marketing,advantage sales marketing
"Adweek Purchaser, LLC",Adweek (Term Loan),Adweek,First Lien,adweek term loan,adweek purchaser,adweek
"Adweek Purchaser, LLC",Adweek (DDTL),Adweek,First Lien,adweek delayed draw term loan,adweek purchaser,adweek
Aechelon Technology Inc.,Aechelon (Common Equity),Aechelon,Common Equity,aechelon common equity,aechelon technology,aechelon
Aechelon Technology Inc.,Aechelon (Term Loan),Aechelon,First Lien,aechelon term loan,aechelon technology,aechelon
Aechelon Technology Inc.,Aechelon (Revolver),Aechelon,First Lien,aechelon revolver,aechelon technology,aechelon
"Affinion Group Holdings, Inc. (Warrants)",Affinion (Warrants),Affinion,Common Equity,affinion warrants,affinion group holdings warrants,affinion
"Aftermarket Drivetrain Products Holdings, LLC",TransGo (Equity),TransGo,Common Equity,transgo equity,aftermarket drivetrain products holdings,transgo
"Aftermarket Drivetrain Products Holdings, LLC ",TransGo (Equity),TransGo,Common Equity,transgo equity,aftermarket drivetrain products holdings,transgo
Alpine Acquisition Corp II,48Forty (Term Loan),48Forty,First Lien,48forty term loan,alpine acquisition ii,48forty
Alpine Acquisition Corp II - Unfunded Term Loan,48Forty (DDTL),48Forty,First Lien,48forty delayed draw term loan,alpine acquisition ii unfunded term loan,48forty
"Altamira Intermediate Company II, Inc.",Altamira (Common Equity),Altamira,Common Equity,altamira common equity,altamira intermediate ii,altamira
"Altamira Technologies, LLC",Altamira (TL),Altamira,First Lien,altamira term loan,altamira technologies,altamira
"Altamira Technologies, LLC - Funded Revolver",Altamira (RC),Altamira,First Lien,altamira revolver,altamira technologies funded revolver,altamira
"Altamira Technologies, LLC - Unfunded Revolver",Altamira (RC),Altamira,First Lien,altamira revolver,altamira technologies unfunded revolver,altamira
"American Auto Auction Group, LLC",XLerate,sadsad,First Lien,xlerate,american auto auction group,sadsad
"American Insulated Glass, LLC",American Insulated Glass (Term Loan),American Insulated Glass,First Lien,american insulated glass term loan,american insulated glass,american insulated glass
"American Insulated Glass, LLC - Unfunded Term Loan",American Insulated Glass (DDTL),American Insulated Glass,First Lien,american insulated glass delayed draw term loan,american insulated glass unfunded term loan,american insulated glass
"American Teleconferencing Services, Ltd.",Premiere Global Services (PGi) (Term Loan),Premiere Global Services (PGi),First Lien,premiere global services pgi term loan,american teleconferencing services,premiere global services pgi
"American Teleconferencing Services, Ltd. - Funded Revolver",Premiere Global Services (PGi) (Priority Revolver),Premiere Global Services (PGi),First Lien,premiere global services pgi priority revolver,american teleconferencing services funded revolver,premiere global services pgi
Amsive Holding Corporation,Vision Integrated (TL),Vision Integrated,First Lien,vision integrated term loan,amsive holding corporation,vision integrated
Amsive Holding Corporation (f/k/a Vision Purchaser Corporation),Vision Integrated (TL),Vision Integrated,First Lien,vision integrated term loan,amsive holding corporation f k a vision purchaser corporation,vision integrated
Ankura Consulting Group,Ankura (TL),Ankura,First Lien,ankura term loan,ankura consulting group,ankura
"Ankura Consulting Group, LLC",Ankura (TL),Ankura,First Lien,ankura term loan,ankura consulting group,ankura
"Anteriad, LLC (f/k/a MeritDirect, LLC)",MeritDirect (Term Loan),MeritDirect,First Lien,meritdirect term loan,anteriad f k a meritdirect,meritdirect
Any Hour Services,Any Hour Services (Term Loan),Any Hour Services,First Lien,any hour services term loan,any hour services,any hour services
Any Hour Services - Unfunded Revolver,Any Hour Services (Revolver),Any Hour Services,First Lien,any hour services revolver,any hour services unfunded revolver,any hour services
Any Hour Services - Unfunded Term Loan,Any Hour Services (DDTL),Any Hour Services,First Lien,any hour services delayed draw term loan,any hour services unfunded term loan,any hour services
Any Hour Services - Unfunded Term Loan II,Any Hour Services (DDTL II),Any Hour Services,First Lien,any hour services delayed draw term loan ii,any hour services unfunded term loan ii,any hour services
"Apex Service Partners, LLC",Apex (Term Loan),Apex Service Partners,First Lien,apex term loan,apex service partners,apex service partners
"Apex Service Partners, LLC",Apex (Incremental Term Loan),Apex Service Partners,First Lien,apex incremental term loan,apex service partners,apex service partners
"Apex Service Partners, LLC ",Apex (Term Loan),Apex Service Partners,First Lien,apex term loan,apex service partners,apex service partners
"Apex Service Partners, LLC - Funded Revolver",Apex (Revolver),Apex Service Partners,First Lien,apex revolver,apex service partners funded revolver,apex service partners
