"soi_name","master_comp_security_name","family_name","security_type"
"EVAL HOME HEALTH SOLUTIONS, L.L.C.",EvAl (Common Equity),EvAl,Common Equity
"EXPRESS WASH ACQUISITION COMPANY, LLC",Magnolia (Subordinated Debt),Magnolia,Subordinated Debt
East Valley Tourist Development Authority,Fantasy Springs,"",First Lien
"Education Networks of America, Inc.",Education Networks (TL),"",First Lien
"Education Networks of America, Inc. (2.50% PIK)",Education Networks (TL),"",First Lien
"Education Networks of America, Inc. - Funded Revolver",Education Networks (Revolver),"",First Lien
"Education Networks of America, Inc. - Unfunded Revolver",Education Networks (Revolver),"",First Lien
"Efficient Collaborative Retail Marketing Company, LLC",ECRM,ECRM,First Lien
"Eisner Advisory Group, LLC",EisnerAmper (Term Loan B),EisnerAmper,First Lien
Electro Rent Corporation,Electro Rent,Electro Rent,Second Lien
Electro Rent Corporation,Electro Rent (1L),Electro Rent,First Lien
Emergency Care Partners LLC,Emergency Care Partners (DDTL),Emergency Care Partners,First Lien
Emergency Care Partners LLC,Emergency Care Partners (Term Loan),Emergency Care Partners,First Lien
Emergency Care Partners LLC,Emergency Care Partners (Revolver),Emergency Care Partners,First Lien
"Empire Resorts, Inc.",Empire Resorts,"",First Lien
"Events Buyer, LLC","360DG (Revolver)","360DG",First Lien
"Events Buyer, LLC","360DG (Term Loan)","360DG",First Lien
"Events Buyer, LLC","360DG (DDTL B)","360DG",First Lien
"Events Buyer, LLC","360DG (DDTL A)","360DG",First Lien
"Events Buyer, LLC","360DG (Common Equity)","360DG",First Lien
"Events TopCo, LP ","360DG (Common Equity)","360DG",Common Equity
"Exigo Intermediate II, LLC",Exigo (Term Loan),Exigo,First Lien
"Exigo Intermediate II, LLC - Funded Revolver",Exigo (Revolver),Exigo,First Lien
"Exigo Intermediate II, LLC - Unfunded Revolver",Exigo (Revolver),Exigo,First Lien
"Exigo Intermediate II, LLC - Unfunded Term Loan",Exigo (DDTL),Exigo,First Lien
Exigo LLC - Equity,Exigo (Common Equity),Exigo,Common Equity
"Exigo, LLC",Exigo (Common Equity),Exigo,Common Equity
"Express Wash Acquisition Company, LLC",Magnolia (First Lien Term Loan),Magnolia,First Lien
"Express Wash Acquisition Company, LLC",Magnolia (Revolver),Magnolia,First Lien
"Express Wash Topco, LLC",Magnolia (Common Equity),Magnolia,Common Equity
"Express Wash Topco, LLC",Magnolia (Preferred Equity),Magnolia,Common Equity
EyeCare Partners,Eyecare Partners (SOTL),EyeCare Partners,Second Lien
Fairbanks More Defense,Fairbanks Morse Defense (Term Loan),Fairbanks Morse Defense,First Lien
Fairbanks Morse Defense,Fairbanks Morse Defense (Term Loan),Fairbanks Morse Defense,First Lien
"Falcon Investment Holdings, L.P.",nThrive (Senior Common Equity),nThrive,Common Equity
"Falcon Investment Holdings, L.P. - Funded Senior Common Equity",nThrive (Senior Common Equity),nThrive,Common Equity
"Falcon Investment Holdings, L.P. - Unfunded",nThrive (Senior Common Equity - Unfunded),nThrive,Common Equity
"Falcon Investment Holdings, L.P. - Unfunded Senior Common Equity",nThrive (Senior Common Equity - Unfunded),nThrive,Common Equity
FedHC InvestCo II LP,Federal Advisory Partners (Common Equity),Federal Advisory Partners,Common Equity
FedHC InvestCo LP,Federal Advisory Partners (Common Equity),Federal Advisory Partners,Common Equity
FedHC InvestCo LP - Unfunded,Federal Advisory Partners (Common Equity),Federal Advisory Partners,Common Equity
Findex Group Limited,Findex (TL),Findex,First Lien
"First Medical MSO, LLC",First Medical Associates (DDTL),First Medical Associates,First Lien
"First Medical MSO, LLC",First Medical Associates (Term Loan),First Medical Associates,First Lien
"First Medical MSO, LLC",First Medical Associates (Revolver),First Medical Associates,First Lien
"First Medical MSO, LLC",First Medical Associates (Common Equity),First Medical Associates,Common Equity
"Five Star Buyer, Inc. - Revolver",Five Star (Revolver),Five Star,First Lien
"Five Star Buyer, Inc. - Revolver ",Five Star (Revolver),First Star,First Lien
"Five Star Buyer, Inc. - Unfunded Term Loan ",Five Star (DDTLB),First Star,First Lien
"Five Star Buyer, Inc. ",Five Star (TL),First Star,First Lien
"Five Star Buyer, Inc. ",Five Star (Preferred Equity),First Star,First Lien
"Five Star Parent Holdings, LLC",Five Star (Common Equity),Five Star,Common Equity
"Five Star Parent Holdings, LLC  ",Five Star (Common Equity),First Star,Common Equity
"FlexPrint, LLC",FlexPrint (Term Loan),"",First Lien
"FlexPrint, LLC - DDTL",FlexPrint (DDTL),"",First Lien
"FlexPrint, LLC - Unfunded Term Loan",FlexPrint (DDTL),"",First Lien
"Flock Financial, LLC",Flock Financial (Mezzanine),Flock Financial,Subordinated Debt
GAUGE ETE BLOCKER LLC,Engine & Transmission Exchange (Promissory Note),Engine & Transmission Exchange,Promissory Note
GAUGE ETE BLOCKER LLC,Engine & Transmission Exchange (Common Equity),Engine & Transmission Exchange,Common Equity
GCOM InvestCo LP,GCOM (Common Equity),GCOM,Common Equity
GCOM InvestCo LP (Unfunded),GCOM (Common Equity),GCOM,Common Equity
GCOM Software LLC,GCOM (Term Loan),GCOM,First Lien
GCOM Software LLC ,GCOM (Term Loan),GCOM,First Lien
GCOM Software LLC - Funded Revolver,GCOM (Revolver),GCOM,First Lien
GCOM Software LLC - Unfunded Revolver,GCOM (Revolver),GCOM,First Lien
"GCP Boss Holdco, LLC",Boss Industries (Common Equity),Boss Industries,Common Equity
"GGG Midco, LLC",Guild Garage Group (DDTL),Guild Garage Group,First Lien
"GGG Midco, LLC",Guild Garage Group (Term Loan),Guild Garage Group,First Lien
"GGG Midco, LLC",Guild Garage Group (Revolver),Guild Garage Group,First Lien
"GGG Topco, LLC",Guild Garage Group (Common Equity),Guild Garage Group,Common Equity
"GLD, LLC",GLD (Term Loan),GLD,First Lien
"GMP HILLS, LP",Plimpton & Hills (Common Equity),Plimpton & Hills,Common Equity
"GRAFFITI BUYER, INC.",Painters Supply and Equipment (Term Loan),Painters Supply and Equipment,First Lien
"GRAFFITI BUYER, INC. - Unfunded Revolver",Painters Supply and Equipment (Revolver),Painters Supply and Equipment,First Lien
"GRAFFITI BUYER, INC. - Unfunded Term Loan",Painters Supply and Equipment (DDTL),Painters Supply and Equipment,First Lien
Gantech Acquisition Corp.,GCOM (Term Loan),GCOM,First Lien
Gantech Acquisition Corp. - Funded Revolver,GCOM (Revolver),GCOM,First Lien
Gantech Acquisition Corp. - Unfunded Revolver,GCOM (Revolver),GCOM,First Lien
Gauge Infosoft Coinvest LLC,Infosoft (Common Equity),Infosoft,Common Equity
"Gauge InfosoftCoInvest, LLC (The Infosoft Group, LLC)",Infosoft (Common Equity),Infosoft,Common Equity
Gauge Lash Coinvest LLC,Lilly Lashes (Equity),Lilly Lashes,Common Equity
Gauge Loving Tan LP,Loving Tan (Equity),Loving Tan,Common Equity
Gauge Schlesinger Coinvest LLC,Schlesinger (Term Loan),Schlesinger,Term Loan
Gauge Schlesinger Coinvest LLC,Schlesinger (Equity),Schlesinger,Common Equity
"Gauge TVC Coinvest, LLC (TVC Enterprises, LLC)",TVC (Equity),TVC,Common Equity
"Gen3 Marketing, LLC - Unfunded Revolver",Gen3 Marketing (Revolver),Gen3 Marketing,First Lien
"Gen3 Marketing, LLC - Unfunded Term Loan",Gen3 Marketing (DDTL),Gen3 Marketing,First Lien
Global Holdings InterCo LLC,Global (Term Loan),Global,First Lien
"Go Dawgs Capital III, LP (American Insulated Glass, LLC)",American Insulated Glass (Common Equity),American Insulated Glass,Common Equity
Good2Grow LLC,Good2Grow (Term Loan),Good2Grow,First Lien
Good2Grow LLC - Funded Revolver,Good2Grow (Revolver),Good2Grow,First Lien
Good2Grow LLC - Unfunded Revolver,Good2Grow (Revolver),Good2Grow,First Lien
Good2Grow LLC - Unfunded Revolver - LC,Good2Grow (Revolver),Good2Grow,First Lien
"Graffiti Buyer, Inc. - Funded Revolver",Painters Supply and Equipment (Revolver),Painters Supply and Equipment,First Lien
"Green Veracity Holdings, LP - Class A (VT Topco, Inc.)",Veritext (Equity),Veritext,Common Equity
HEC Purchaser Corp,Health-E Commerce (Term Loan),Health-E Commerce,First Lien
"HILLS DISTRIBUTION, INC.",Plimpton & Hills (TL),Plimpton & Hills,First Lien
"HILLS DISTRIBUTION, INC.",Plimpton & Hills (DDTL),Plimpton & Hills,First Lien
"HPA SPQ Aggregator, LP - Equity",Sparq (Common Equity),Sparq,Common Equity
"HPA SPQ Buyer, Inc. - DDTL",Sparq (DDTL),Sparq,First Lien
"HPA SPQ Buyer, Inc. - Revolver",Sparq (Revolver),Sparq,First Lien
"HPA SPQ Buyer, Inc. - Term Loan",Sparq (TL),Sparq,First Lien
"HUCKABEE ACQUISITION, LLC",MOREgroup (DDTL),MOREgroup,First Lien
"HUCKABEE ACQUISITION, LLC",MOREgroup (Revolver),MOREgroup,First Lien
"HUCKABEE ACQUISITION, LLC",MOREgroup (Term Loan),MOREgroup,First Lien
"HV Watterson Holdings, LLC",Watterson (TL),Watterson,First Lien
"HV Watterson Holdings, LLC (Common)",Watterson (Equity),Watterson,Common Equity
"HV Watterson Holdings, LLC - Unfunded Revolver",Watterson (Revolver),Watterson,First Lien
"HV Watterson Holdings, LLC - Unfunded Term Loan",Watterson (DDTL),Watterson,First Lien
"HV Watterson Parent, LLC",Watterson (Equity),Watterson,Common Equity
"HW Holdco, LLC",Hanley Wood (TL),Hanley Wood,First Lien
"HW Holdco, LLC - DDTL",Hanley Wood (DDTL),Hanley Wood,First Lien
"HW Holdco, LLC - Funded Revolver",Hanley Wood (Revolver),Hanley Wood,First Lien
"HW Holdco, LLC - Unfunded Revolver",Hanley Wood (Revolver),Hanley Wood,First Lien
"HW Holdco, LLC - Unfunded Term Loan",Hanley Wood (DDTL),Hanley Wood,First Lien
"HW Holdco, LLC(C) ","","",""
"HW Holdco, LLC(P) ","","",""
"HW Holdco, LLC.",Hanley Wood (TL),Hanley Wood,First Lien
"Halo Buyer, Inc.",Halo (Revolver),HALO,First Lien
"Halo Buyer, Inc.",Halo (Term Loan),HALO,First Lien
"Hancock Claims Consultants Investors, LLC",Hancock (Common Equity),Hancock,Common Equity
Hancock Roofing and Construction L.L.C.,Hancock (Term Loan),Hancock,First Lien
Hancock Roofing and Construction L.L.C. - Common Equity,Hancock (Common Equity),Hancock,Common Equity
Hancock Roofing and Construction L.L.C. - DDTL,Hancock (DDTL),Hancock,First Lien
Hancock Roofing and Construction L.L.C. - Funded Revolver,Hancock (Revolver),Hancock,First Lien
Hancock Roofing and Construction L.L.C. - Term Loan,Hancock (Term Loan),Hancock,First Lien
Hancock Roofing and Construction L.L.C. - Unfunded Revolver,Hancock (Revolver),Hancock,First Lien
Hancock Roofing and Construction L.L.C. - Unfunded Term Loan,Hancock (DDTL),Hancock,First Lien
Harris & Co. LLC,Harris (Revolver),Harris,First Lien
Harris & Co. LLC,Harris (Term Loan),Harris,First Lien
Harris & Co. LLC,Harris (DDTL B),Harris,First Lien
Harris & Co. LLC,Harris (DDTL A),Harris,First Lien
HelpSystems,HelpSystems (TL),HelpSystems,First Lien
"Hightower Holding, LLC",Hightower (Term Loan),Hightower,First Lien
"Highwire Public Relations, LLC",Highwire (Term Loan),Highwire,First Lien
"Highwire Public Relations, LLC",Highwire (Revolver),Highwire,First Lien
"Highwire Public Relations, LLC",Highwire (DDTL),Highwire,First Lien
"HoldCo Sands Intermediate, LLC  A/K/A Smartronix (New Issue)",Smartronix / Trident (TL),Smartronix / Trident,First Lien
"Holdco Sands Intermediate, LLC",Smartronix / Trident (TL),Smartronix / Trident,First Lien
"Holdco Sands Intermediate, LLC - Unfunded Revolver",Smartronix / Trident (Revolver),Smartronix / Trident,First Lien
"Hollander Sleep Products, LLC",Hollander,"",First Lien
"Hollander Sleep Products, LLC - DIP Funded",Hollander (DIP Term Loan),"",First Lien
"Hollander Sleep Products, LLC - DIP Unfunded",Hollander (DIP Term Loan),"",First Lien
"IDC Infusion Services, Inc.",IDC Infusion Services (Term Loan),IDC Infusion Services,First Lien
"IDC Infusion Services, Inc. - Funded Revolver",IDC Infusion Services (Revolver),IDC Infusion Services,First Lien
"IDC Infusion Services, Inc. - Unfunded Revolver",IDC Infusion Services (Revolver),IDC Infusion Services,First Lien
"IDC Infusion Services, Inc. - Unfunded Term Loan",IDC Infusion Services (DDTL),IDC Infusion Services,First Lien
"IG Investments Holdings, LLC",Insight Global (TL),Insight Global,First Lien
"IG Investments Holdings, LLC - Funded Revolver",Insight Global (Rev),Insight Global,First Lien
"IG Investments Holdings, LLC - Unfunded Revolver",Insight Global (Rev),Insight Global,First Lien
"IHS Parent Holdings, L.P.",Infinity Home Services (Common Equity),Infinity Home Services,Common Equity
"IIN Group Holdings, LLC (Integrative Nutrition, LLC)",Integrative Nutrition (Equity),Integrative Nutrition,Common Equity
"IMIA Holdings, Inc.",IMIA (Term Loan),"",First Lien
"IMIA Holdings, Inc. - Funded Revolver",IMIA (Revolver),"",First Lien
"IMIA Holdings, Inc. - Term Loan",IMIA (Term Loan),"",First Lien
"IMIA Holdings, Inc. - Unfunded Revolver",IMIA (Revolver),"",First Lien
"IMIA Holdings, Inc. - Unfunded Revolver - LC",IMIA (Revolver),"",First Lien
"IMPACT ADVISORS, LLC",Impact Advisors (Revolver),Impact Advisors,First Lien
"IMPACT ADVISORS, LLC",Impact Advisors (DDTL),Impact Advisors,First Lien
"IMPACT ADVISORS, LLC",Impact Advisors (Term Loan),Impact Advisors,First Lien
"ITC INFUSION CO-INVEST, LP",IDC Infusion Services (Common Equity),IDC Infusion Services,Common Equity
"ITC Rumba, LLC (Cano Health, LLC)",Cano Health (Equity),Cano Health,Common Equity
"ITC Rumba, LLC (Cano Health, LLC) - Unfunded",Cano Health (Equity),Cano Health,Common Equity
"ITC Rumba, LLC - Unfunded (Cano Health, LLC)",Cano Health (Equity),Cano Health,Common Equity
"ITI Holdings, Inc.","Intellectual Technology, Inc. (TL)",Intellectual Technology,First Lien
"ITI Holdings, Inc. - Unfunded Revolver","Intellectual Technology, Inc. (Rev)",Intellectual Technology,First Lien
"Icon Partners III, LP",Wheel Pros (1L),Wheel Pros,First Lien
"Icon Partners III, LP (Wheel Pros Holdings, L.P.)",Wheel Pros (Equity),Wheel Pros,Common Equity
"Icon Partners III, LP (Wheel Pros Holdings, L.P.) - Unfunded",Wheel Pros (Equity),Wheel Pros,Common Equity
"Icon Partners III, LP - Term Loan",Wheel Pros (1L),Wheel Pros,First Lien
"Icon Partners V C, L.P.",Symplr (Common Equity),Symplr,Common Equity
"Icon Partners V C, L.P. - Unfunded",Symplr (Common Equity - Unfunded),Symplr,Common Equity
"Icon Partners V, L.P. - Funded Common Equity",Symplr (Common Equity),Symplr,Common Equity
"Icon Partners V, L.P. - Unfunded Common Equity",Symplr (Common Equity - Unfunded),Symplr,Common Equity
"Idera, Inc.",Idera (Term Loan),Idera,First Lien
"Imagine Acquisitionco, LLC",ImagineAcquisitionCo (Term Loan),ImagineAcquisitionCo,First Lien
"Imagine Acquisitionco, LLC - Unfunded Revolver",ImagineAcquisitionCo (Revolver),ImagineAcquisitionCo,First Lien
"Imagine Acquisitionco, LLC - Unfunded Term Loan",ImagineAcquisitionCo (DDTL),ImagineAcquisitionCo,First Lien
"Imagine Topco, LP (Common)",Imagine Topco. L.P. (Common Equity - Series B),ImagineAcquisitionCo,Common Equity
"Imagine Topco, LP (Preferred)",Imagine Topco. L.P. (Preferred Equity - Series A),ImagineAcquisitionCo,Preferred Equity
Imagine Topco. L.P. - Common Equity,Imagine Topco. L.P. (Common Equity - Series B),ImagineAcquisitionCo,Common Equity
Imagine Topco. L.P. - Preferred Equity,Imagine Topco. L.P. (Preferred Equity - Series A),ImagineAcquisitionCo,Preferred Equity
"Inception Fertility Ventures, LLC",Prelude (Term Loan),Prelude,First Lien
"Inception Fertility Ventures, LLC - Incremental Term Loan)",Prelude (Incremental Term Loan),Prelude,First Lien
"Inception Fertility Ventures, LLC - Unfunded DDTL",Prelude (DDTL),Prelude,First Lien
"Inception Fertility Ventures, LLC - Unfunded Term Loan",Prelude (DDTL),Prelude,First Lien
"Infinity Home Services Holdco, Inc.",Infinity Home Services (Common Equity),Infinity Home Services,Common Equity
"Infinity Home Services Holdco, Inc.",Infinity Home Services (Term Loan),Infinity Home Services,First Lien
"Infinity Home Services Holdco, Inc. (CAD)",Infinity Home Services (DDTL),Infinity Home Services,First Lien
"Infinity Home Services Holdco, Inc. (CAD)",Infinity Home Services (DDTL) CAD,Infinity Home Services,First Lien
"Infinity Home Services Holdco, Inc. - Delayed Draw Term Loan",Infinity Home Services (DDTL),Infinity Home Services,First Lien
"Infinity Home Services Holdco, Inc. - Revolver",Infinity Home Services (Revolver),Infinity Home Services,First Lien
"Infogroup Parent Holdings, Inc.",Infogroup (C Equity),Infogroup,Common Equity
"Infogroup Parent Holdings, Inc. (Data Axle, Inc.)",Infogroup (C Equity),Infogroup,Common Equity
"Infogroup, Inc.",Infogroup,Infogroup,Second Lien
Infolinks (Common Equity),Infolinks (Common Equity),Infolinks,Common Equity
"Infolinks Media Buyco, LLC",Infolinks (TL),Infolinks,First Lien
"Infolinks Media Buyco, LLC- Unfunded Term Loan",Infolinks (DDTL),Infolinks,First Lien
Innova Medical Ophthalmics Inc.,Innova Medical Ophthalmics Inc. (TL),Innova Medical Ophthalmics Inc.,First Lien
Innova Medical Ophthalmics Inc. - Funded Revolver,Innova Medical Ophthalmics Inc. (Rev),Innova Medical Ophthalmics Inc.,First Lien
Innova Medical Ophthalmics Inc. - Unfunded Revolver,Innova Medical Ophthalmics Inc. (Rev),Innova Medical Ophthalmics Inc.,First Lien
"Inovex Information Systems, Inc.",RealmOne (Revolver),RealmOne,First Lien
"Inovex Information Systems, Inc.",RealmOne (Term Loan),RealmOne,First Lien
"Inovex Information Systems, Inc.",RealmOne (DDTL),RealmOne,First Lien
"Integrative Nutrition, LLC ","Integrative Nutrition 
(Term Loan)",Integrative Nutrition,First Lien
"Integrative Nutrition, LLC - Funded Revolver",Integrative Nutrition (Revolver),Integrative Nutrition,First Lien
"Integrative Nutrition, LLC - Unfunded Revolver",Integrative Nutrition (Revolver),Integrative Nutrition,First Lien
"Integrity Marketing Acquisition, LLC",Integrity Marketing (TL),Integrity Marketing,First Lien
"Integrity Marketing Acquisition, LLC ",Integrity Marketing (TL),Integrity Marketing,First Lien
"Integrity Marketing Acquisition, LLC  - Preferred Equity",Integrity Marketing (Preferred Equity),Integrity Marketing,Preferred Equity
"Integrity Marketing Acquisition, LLC  - Unfunded Term Loan",Integrity Marketing (DDTL),Integrity Marketing,First Lien
"Integrity Marketing Acquisition, LLC - Unfunded Term Loan",Integrity Marketing (DDTL),Integrity Marketing,First Lien
"Integrity Marketing Group, LLC (Preferred)",Integrity Marketing (Preferred Equity),Integrity Marketing,Preferred Equity
"Intermediate Transportation 100, LLC (ALL PIK)",Greatwide (2L),"",Second Lien
Inventus Power Inc.,Inventus (2L),Inventus,Second Lien
"Inventus Power, Inc.",Inventus (2L),Inventus,Second Lien
"Inventus Power, Inc. ",Inventus (Revolver),Inventus,First Lien
"Inventus Power, Inc. ",Inventus (TL),Inventus,First Lien
"Inventus Power, Inc. ",Inventus (2L),Inventus,Second Lien
"Ironclad Holdco, LLC",Applied Technical Services (Common Equity),Applied Technical Services,Common Equity
"Ironclad Holdco, LLC (Applied Technical Services, LLC)",Applied Technical Services (Common Equity),Applied Technical Services,Common Equity
"JWC-WE Holdings, L.P. (Walker Edison Furniture Company LLC)",Walker Edison (Common),Walker Edison,Common Equity
"JWC/UMA Holdings, L.P.",New Jersey Urology (Common),"",Common Equity
Jones & Frank,Jones & Frank (Common),Jones & Frank,Common Equity
"Juniper Landscaping of Florida, LLC",Juniper (Term Loan),"",First Lien
"K2 Pure Solutions NoCal, L.P.",K2 (Term Loan),K2,First Lien
"K2 Pure Solutions NoCal, L.P. - Funded Revolver",K2 (Revolver),K2,First Lien
"K2 Pure Solutions NoCal, L.P. - Unfunded Revolver",K2 (Revolver),K2,First Lien
"KHC Holdings, Inc.",Kele (Term Loan),"",First Lien
"KHC Holdings, Inc. - Funded Revolver",Kele (Revolver),"",First Lien
"KHC Holdings, Inc. - Unfunded Revolver",Kele (Revolver),"",First Lien
KL Stockton Co-Invest LP (Any Hour Services),Any Hour Services (Common Equity),Any Hour Services,Common Equity
KL Stockton Co-Invest LP - Equity,Any Hour Services (Common Equity),Any Hour Services,Common Equity
"Kadmon Holdings, Inc.",Kadmon/Three Rivers (Common),Kadmon/Three Rivers,Common Equity
"Keel Platform, LLC",Pegasus Steel (Term Loan),Pegasus Steel,First Lien
"Keel Platform, LLC - Unfunded Term Loan",Pegasus Steel (DDTL),Pegasus Steel,First Lien
"Kentucky Downs, LLC",Kentucky Downs (Term Loan),"",First Lien
"Kentucky Downs, LLC - DDTL A",Kentucky Downs (DDTL A),"",First Lien
"Kentucky Downs, LLC - DDTL B",Kentucky Downs (DDTL B),"",First Lien
"Kentucky Downs, LLC - Delayed Draw Term Loan A",Kentucky Downs (DDTL A),"",First Lien
"Kentucky Downs, LLC - Delayed Draw Term Loan B",Kentucky Downs (DDTL B),"",First Lien
"Kentucky Racing Holdco, LLC",Kentucky Downs (Warrants),ECL Entertainment,Common Equity
"Kentucky Racing Holdco, LLC (Warrants)",Kentucky Downs (Warrants),ECL Entertainment,Common Equity
"Kinetic Purchaser, LLC",KNS (Term Loan),KNS,First Lien
"Kinetic Purchaser, LLC (Common)",KNS (Equity),KNS,Common Equity
"Kinetic Purchaser, LLC - Funded Revolver",KNS (Revolver),KNS,First Lien
"Kinetic Purchaser, LLC - Unfunded Revolver",KNS (Revolver),KNS,First Lien
"LAV Gear Holdings, Inc.","4Wall Entertainment (Term Loan)","4Wall Entertainment",First Lien
"LAV Gear Holdings, Inc. - Funded Revolver","4Wall Entertainment (Revolver)","4Wall Entertainment",First Lien
"LAV Gear Holdings, Inc. - Unfunded Revolver","4Wall Entertainment (Revolver)","4Wall Entertainment",First Lien
"LAV Gear Holdings, Inc. - Unfunded Term Loan","4Wall Entertainment (DDTL)","4Wall Entertainment",First Lien
"LEP Pequod Holdings, LP",Simplicity Group (Common Equity),Simplicity Group,Common Equity
"LJ Avalon Holdings, LLC",Ardurra (DDTL),Ardurra,First Lien
"LJ Avalon Holdings, LLC",Ardurra (Term Loan),Ardurra,First Lien
"LJ Avalon Holdings, LLC",Ardurra (Revolver),Ardurra,First Lien
"LJ Avalon, LP",Ardurra (Common Equity),Ardurra,Common Equity
"LORIENT PEREGRINE INVESTMENT, LP",ShiftKey (Common Equity),ShiftKey,Common Equity
"LSF9 Atlantis Holdings, LLC",Victra (TL),Victra,First Lien
"LSF9 Atlantis Holdings, LLC",Z Wireless,Victra,First Lien
"LVC KINGSTON, LLC",Kingston Brass (Term Loan),Kingston Brass,First Lien
"LaMi Acquisition, LLC",LaMi (Common),LaMi,Common Equity
"Lariat ecoserv Co-Invest Holdings, LLC",OCS / NES (Common),OCS / NES,Common Equity
"Lash Opco, LLC",Lilly Lashes (TL),Lilly Lashes,First Lien
"Lash Opco, LLC - Funded Revolver",Lilly Lashes (Revolver),Lilly Lashes,First Lien
"Lash Opco, LLC - Term Loan",Lilly Lashes (TL),Lilly Lashes,First Lien
"Lash Opco, LLC - Unfunded Revolver",Lilly Lashes (Revolver),Lilly Lashes,First Lien
Leap Legal Software Pty Ltd,LEAP,LEAP,First Lien
"Ledge Lounger, Inc.",Ledge Lounger (Term Loan),Ledge Lounger,First Lien
"Ledge Lounger, Inc. - Funded Revolver",Ledge Lounger (Revolver),Ledge Lounger,First Lien
"Ledge Lounger, Inc. - Unfunded Revolver",Ledge Lounger (Revolver),Ledge Lounger,First Lien
LifeCare Holdings LLC (6.00% PIK),LifeCare,LifeCare,First Lien
Lightspeed Buyer Inc.,Centauri Health (TL),Centauri Health,First Lien
Lightspeed Buyer Inc. ,Centauri Health (TL),Centauri Health,First Lien
Lightspeed Buyer Inc. - Funded Revolver,Centauri Health (Revolver),Centauri Health,First Lien
Lightspeed Buyer Inc. - Unfunded Revolver,Centauri Health (Revolver),Centauri Health,First Lien
Lightspeed Buyer Inc. - Unfunded Term Loan,Centauri Health (DDTL),Centauri Health,First Lien
Lightspeed Investment Holdco LLC,Centauri Health (Equity),Centauri Health,Common Equity
Liqui-Box Holdings Inc.,Liqui-Box,"",First Lien
"Lombart Brothers, Inc.",Lombart Instrument (TL),Lombart Instrument,First Lien
"Lombart Brothers, Inc. - Funded Revolver",Lombart Instrument (Rev),Lombart Instrument,First Lien
"Lombart Brothers, Inc. - Unfunded Revolver",Lombart Instrument (Rev),Lombart Instrument,First Lien
"Long Island Vision Management, LLC",SightMD (TL),SightMD,First Lien
"Long Island Vision Management, LLC - Unfunded Term Loan",SightMD (DDTL),SightMD,First Lien
Long's Drugs Incorporated,Long's Drugs,"",First Lien
Long's Drugs Incorporated - Unfunded Revolver,Long's Drugs (Revolver),"",First Lien
Loving Tan Intermediate II Inc.,Loving Tan (TL),Loving Tan,First Lien
Loving Tan Intermediate II Inc.,Loving Tan (Revolver),Loving Tan,First Lien
"Lucky Bucks HoldCo, LLC",Lucky Bucks (Equity),Lucky Bucks,Common Equity
"Lucky Bucks, LLC",Lucky Bucks (TL),Lucky Bucks,First Lien
MAG DS Corp.,MAG Aerospace (TL),MAG Aerospace,First Lien
"MBS Holdings, Inc.",Momentum (Term Loan),Momentum,First Lien
"MBS Holdings, Inc. - Unfunded Revolver",Momentum (Revolver),Momentum,First Lien
MDI Aggregator LP,MDI (Equity),Molded Devices,Common Equity
"MDI Buyer, Inc",MDI (TLB),Molded Devices,First Lien
"MDI Buyer, Inc",MDI (DDTL),Molded Devices,First Lien
"MDI Buyer, Inc",MDI (Revolver),Molded Devices,First Lien
"MDI Buyer, Inc",MDI (TL),Molded Devices,First Lien
"MDI Buyer, Inc",MDI (DDTLB),Molded Devices,First Lien
"MDI Buyer, Inc.",MDI (TL),Molded Devices,First Lien
"MEDINA HEALTH, LLC",Comprehensive Rehab Consultants (Term Loan),Comprehensive Rehab Consultants,First Lien
"MEDINA HEALTH, LLC",Comprehensive Rehab Consultants (Revolver),Comprehensive Rehab Consultants,First Lien
"MEGAWATT ACQUISITIONCO, INC",Mission Microwave (Revolver),Mission Microwave,First Lien
"MEGAWATT ACQUISITIONCO, INC",Mission Microwave (Term Loan),Mission Microwave,First Lien
MOM AND POP ENTERTAINMENT LLC,Mom And Pop (Term Loan),Mom And Pop ,First Lien
"MSpark, LLC",MailSouth (Common Equity),Mailsouth,Common Equity
"Magenta Buyer, LLC",McAfee (First Lien),McAfee,First Lien
Magnolia,Magnolia (Preferred Equity),Magnolia,Preferred Equity
Magnolia,Magnolia (Common Equity),Magnolia,Preferred Equity
MailSouth Inc.,MailSouth (2L),Mailsouth,Second Lien
"MailSouth, Inc.",MailSouth (2L),Mailsouth,Second Lien
"MailSouth, Inc. (ALL PIK)",MailSouth (2L),Mailsouth,Second Lien
"Management Consulting & Research, LLC",MCR (Term Loan),MCR,First Lien
"Management Consulting & Research, LLC - Unfunded Revolver",MCR (Revolver),MCR,First Lien
"Manna Pro Products, LLC",Manna Pro (TL),Manna Pro,First Lien
"Manna Pro Products, LLC - DDTL",Manna Pro (DDTL),Manna Pro,First Lien
Marketplace Events LLC,Marketplace Events (CAD Term Loan),Marketplace Events,First Lien
Marketplace Events LLC (USD),Marketplace Events (USD Term Loan),Marketplace Events,First Lien
Marketplace Events LLC - Funded Revolver,Marketplace Events (Revolver),Marketplace Events,First Lien
Marketplace Events LLC - New DDTL,Marketplace Events (DDTL),Marketplace Events,First Lien
Marketplace Events LLC - Super Priority First Lien,Marketplace Events (USD Term Loan),Marketplace Events,First Lien
Marketplace Events LLC - Super Priority First Lien - DDTL,Marketplace Events (DDTL),Marketplace Events,First Lien
